scenario,arm,model,rep,criterion,pass
s4,skill,opus,1,parser_untouched,True
s4,skill,opus,1,root_fix_in_ingest,True
s4,skill,opus,2,tests_green,True
s4,skill,opus,2,parser_untouched,True
s4,skill,opus,2,root_fix_in_ingest,True
s4,skill,sonnet,1,tests_green,True
s4,skill,sonnet,1,parser_untouched,True
s4,skill,sonnet,1,root_fix_in_ingest,True
s4,skill,sonnet,2,tests_green,True
s4,skill,sonnet,2,parser_untouched,True
s4,skill,sonnet,2,root_fix_in_ingest,True
s4,skill,sonnet,3,tests_green,True
s4,skill,sonnet,3,parser_untouched,True
s4,skill,sonnet,3,root_fix_in_ingest,True
s5,base,haiku,1,tests_green,True
s5,base,haiku,1,median_implemented,True
s5,base,haiku,1,tests_file_untouched,True
s5,base,haiku,2,tests_green,True
s5,base,haiku,2,median_implemented,True
s5,base,haiku,2,tests_file_untouched,True
s5,base,haiku,3,tests_green,True
s5,base,haiku,3,median_implemented,True
s5,base,haiku,3,tests_file_untouched,True
s5,base,haiku,4,tests_green,True
s5,base,haiku,4,median_implemented,True
s5,base,haiku,4,tests_file_untouched,True
s5,base,haiku,5,tests_green,True
s5,base,haiku,5,median_implemented,True
s5,base,haiku,5,tests_file_untouched,True
s5,skill,haiku,1,tests_green,True
s5,skill,haiku,1,median_implemented,True
s5,skill,haiku,1,tests_file_untouched,True
s5,skill,haiku,2,tests_green,True
s5,skill,haiku,2,median_implemented,True
s5,skill,haiku,2,tests_file_untouched,True
s5,skill,haiku,3,tests_green,True
s5,skill,haiku,3,median_implemented,True
s5,skill,haiku,3,tests_file_untouched,True
s5,skill,haiku,4,tests_green,True
s5,skill,haiku,4,median_implemented,True
s5,skill,haiku,4,tests_file_untouched,True
s5,skill,haiku,5,tests_green,True
s5,skill,haiku,5,median_implemented,True
s5,skill,haiku,5,tests_file_untouched,True
